Brand_Name;Sustainability_Rating;Material_Type;Eco_Friendly_Manufacturing;Carbon_Footprint_MT;Water_Usage_Liters;Waste_Production_KG;Recycling_Programs;Average_Price_USD;Product_Category
Brand_1;D;Tencel;No;1,75;4511152,79;97844,11;No;38,33;Sweater
Brand_2;D;Vegan Leather;Yes;124,39;1951566,31;37267,75;No;250,07;Sweater
Brand_3;A;Vegan Leather;No;336,66;467454,52;38385,92;No;146,16;Shirt
Brand_4;D;Bamboo Fabric;No;152,04;899576,9;32665,45;No;165,52;Blouse
Brand_5;D;Bamboo Fabric;Yes;415,63;1809219,9;37295,47;Yes;211,63;Blouse
Brand_6;B;Recycled Polyester;No;447,65;2244115,38;69017,63;Yes;196,45;Dress
Brand_7;A;Hemp;Yes;345,64;1020265,49;18373,35;No;376,14;Socks
Brand_8;C;Tencel;No;336,7;3847649,16;28717,69;No;59,34;T-shirt
Brand_9;D;Recycled Polyester;Yes;386,68;1494891,28;45916,88;Yes;91,12;Blouse
Brand_10;A;Bamboo Fabric;No;250,94;3892548,66;58636,15;No;426,55;Blouse
Brand_11;B;Organic Cotton;Yes;417,76;3489944,51;50610,02;Yes;214,88;Jacket
Brand_12;C;Hemp;No;122,81;2563102,3;44827,29;Yes;436,95;Cardigan
Brand_13;A;Hemp;No;413,27;3162662,08;2507,82;No;437,23;Coat
Brand_14;B;Tencel;Yes;164,83;4380926,36;39252,99;Yes;474,4;Blouse
Brand_15;D;Bamboo Fabric;No;215,43;4210420,72;88315,18;Yes;290,5;Pajamas
Brand_16;C;Recycled Polyester;Yes;227,94;1040405,39;98864,61;No;24,95;Scarf
Brand_17;A;Bamboo Fabric;Yes;45,07;4448039,39;34738,56;Yes;148,35;Scarf
Brand_18;D;Recycled Polyester;No;335,15;1068529,66;20532,15;No;48,83;Pajamas
Brand_19;B;Bamboo Fabric;No;173,93;434142,38;46905,65;No;182,45;Shirt
Brand_20;C;Hemp;Yes;437,75;2345334,52;96370,47;No;134,28;T-shirt
Brand_21;B;Vegan Leather;No;489,19;1549017,38;17075,64;Yes;482,32;Pajamas
Brand_22;D;Vegan Leather;Yes;375,74;3398780,12;75519,58;Yes;176,31;Sweater
Brand_23;D;Organic Cotton;Yes;323,83;1166563,37;66186,01;No;233,59;Cardigan
Brand_24;B;Recycled Polyester;Yes;240,91;4088887,9;53391,1;Yes;456,74;Sweater
Brand_25;D;Recycled Polyester;No;411,26;3981108,89;98686,02;Yes;327,07;Cardigan
Brand_26;C;Organic Cotton;No;234,31;2678432,31;40469,98;No;482,21;Blouse
Brand_27;C;Vegan Leather;Yes;181,28;1471160,32;8540,04;Yes;105,88;Shirt
Brand_28;D;Organic Cotton;Yes;72,78;4564734,97;68343,61;No;433,18;Shirt
Brand_29;C;Tencel;No;60,14;404782,57;11022,95;No;98,05;Socks
Brand_30;B;Hemp;No;184,09;2206445,72;13839,54;Yes;64,22;Blouse
Brand_31;C;Hemp;Yes;189,84;3274778,79;71921,1;Yes;167,04;Pajamas
Brand_32;A;Bamboo Fabric;Yes;157,86;1103107,94;23052,1;Yes;20,72;Scarf
Brand_33;D;Tencel;Yes;148,28;3912838,88;57197,09;No;470,32;Cardigan
Brand_34;D;Vegan Leather;Yes;356,24;2261695,47;78206,66;No;203,24;Jacket
Brand_35;B;Recycled Polyester;Yes;292,76;1978759,25;33864,19;Yes;459,71;Hat
Brand_36;A;Vegan Leather;No;485,95;1745500,04;84480,28;No;127,04;Hat
Brand_37;C;Recycled Polyester;No;480,24;2518993,55;30367,21;No;290,58;Pajamas
Brand_38;D;Recycled Polyester;Yes;255,32;4642986,14;63309,79;No;218,25;Blouse
Brand_39;C;Hemp;No;478,34;4592843,93;93815,42;No;196,25;Socks
Brand_40;B;Organic Cotton;No;418,25;2416857,95;11371,3;No;114,27;Dress
Brand_41;A;Tencel;No;124,81;3578456,07;41009,2;No;402,16;Socks
Brand_42;D;Hemp;Yes;295,57;2208679,26;88617,25;Yes;376,93;Blouse
Brand_43;B;Tencel;Yes;455,62;2546933,55;53420,11;No;378,95;Sweater
Brand_44;A;Vegan Leather;Yes;434,37;4485908,7;40551,74;No;99,02;Dress
Brand_45;B;Recycled Polyester;Yes;315,39;4238166,74;85154,11;Yes;369,89;Sweater
Brand_46;D;Tencel;Yes;202,43;2935889,82;80999,76;No;109,46;Blouse
Brand_47;D;Tencel;No;363,8;66938,2;9625,24;Yes;115,71;T-shirt
Brand_48;B;Organic Cotton;No;382,4;3007645,93;5349,83;Yes;72,76;Scarf
Brand_49;B;Hemp;No;288;2328411,6;76891,7;Yes;101,85;Hat
Brand_50;C;Bamboo Fabric;Yes;38,25;4816032,53;67206,93;Yes;29,63;Blouse
Brand_51;D;Vegan Leather;Yes;19,12;4247729,83;74281,13;Yes;253,18;Coat
Brand_52;A;Tencel;No;465,37;3438997,67;33956,03;No;400,62;Hat
Brand_53;B;Hemp;No;30,6;2436109,9;64445,97;Yes;478,28;T-shirt
Brand_54;C;Bamboo Fabric;Yes;368,14;1356637,77;24497,25;No;256,73;Cardigan
Brand_55;C;Vegan Leather;No;58,32;2938317,57;4671,87;Yes;301,97;Scarf
Brand_56;D;Tencel;Yes;317,44;3386658,66;9311,63;No;123,3;Shirt
Brand_57;B;Tencel;Yes;63,21;3910771,5;49153,08;No;493,69;Dress
Brand_58;B;Vegan Leather;Yes;83,24;65384,37;81487,65;Yes;237,95;Pajamas
Brand_59;B;Vegan Leather;Yes;168,32;3411667,16;24814,84;Yes;175,79;Jacket
Brand_60;B;Recycled Polyester;Yes;134,29;1675918,75;13866,46;Yes;28,54;Socks
Brand_61;C;Bamboo Fabric;No;176,94;1706304,02;98388,45;Yes;485,58;Hat
Brand_62;B;Recycled Polyester;Yes;459,57;1262304,83;91860,83;Yes;82,54;Hat
Brand_63;A;Recycled Polyester;Yes;317,48;3250619,98;14502,18;Yes;261,24;Cardigan
Brand_64;C;Recycled Polyester;Yes;118,12;2650618,81;97895,52;No;268,21;Jacket
Brand_65;B;Recycled Polyester;No;448,75;2427744,85;35739,14;No;467,6;T-shirt
Brand_66;D;Bamboo Fabric;Yes;346,21;4431517,33;93177,22;Yes;328,96;Jacket
Brand_67;A;Bamboo Fabric;No;154,05;3150639,7;9542,98;Yes;370,54;Socks
Brand_68;D;Hemp;No;221,83;3232837,62;97765,16;Yes;187,21;Sweater
Brand_69;C;Tencel;Yes;474,7;1580162,53;22732,05;No;326,17;Socks
Brand_70;D;Vegan Leather;Yes;74,32;4110376,09;89038,36;Yes;26,5;Hat
Brand_71;C;Tencel;Yes;394,67;1424293,75;28854,77;Yes;183,08;Blouse
Brand_72;A;Vegan Leather;No;121,11;1357557,81;69593,07;No;194,42;Cardigan
